Article_id,Title,Description,Date,Category,URL
38,‘China’s relationship with India lies in India’s external environment’,"Menon was speaking at a panel discussion titled ‘India and China: Uneasy Neighbours’ along with Lt General SL Narasimhan, Director General, Centre for Contemporary China Studies, and Member, National Security Advisory Board, Government of India; and Yun Sun, Senior Fellow and Director of China Program, Stimson Centre, which was moderated by Gideon Rachman, Chief Foreign Affairs Commentator, Financial Times.","June 8, 2021  6:07:20 am",India,https://indianexpress.com/article/india/chinas-relationship-with-india-lies-in-indias-external-environment-7348860/
39,‘Shared concerns about Beijing have driven India and the US closer’,The experts also stated that Indo-US relations accelerated during the Trump administration.,"June 8, 2021  6:07:22 am",India,https://indianexpress.com/article/india/shared-concerns-about-beijing-have-driven-india-and-the-us-closer-7348859/
40,‘India is at the front and centre of America’s engagement in the region’,"The US-India relationship is a central feature of our goal, which is a free and open Indo-Pacific region. It has the potential to emerge as the most consequential partnership of the 21st century.","June 8, 2021  5:38:47 am",India,https://indianexpress.com/article/india/indo-us-relations-covid-crisis-lloyd-austin-india-visit-7348858/
41,‘Relations with China at a crossroads’: S Jaishankar,"When one contemplates the world today, it’s important to first understand what it is not. It is not cold war 2.0 because you don’t have that kind of sharp military confrontation that the Cold War did. The systems are not as firewalled as they were in that era.","June 8, 2021  11:07:36 am",India,https://indianexpress.com/article/india/relations-with-china-at-a-crossroads-s-jaishankar-7348853/
42,‘Cure therapy’ ban to training for police: Madras HC reaches out to LGBTQ,"Tamil Nadu is set to be the first state to ban ‘conversion therapy’, a widely available procedure that hospitals as well as religious institutions offer to change the sexual orientation of LGBT people.","June 8, 2021  10:06:32 am",India,https://indianexpress.com/article/india/cure-therapy-ban-to-training-for-police-madras-high-court-reaches-out-to-lgbtq-7348680/
43,"TMC to look beyond Bengal, will go to a state only to win: Abhishek Banerjee","Abhishek Banerjee said the Trinamool Congress would go about its expansion more systematically than before, though he didn't share any details.","June 8, 2021  7:06:25 am",India,https://indianexpress.com/article/india/tmc-to-look-beyond-bengal-will-go-to-a-state-only-to-win-abhishek-banerjee-7348677/
44,"Over 3,000 orphaned, 26,000 lost a parent since April ’20: Panel","Of the 30,071 children who the Commission said are in “need of care and protection”, 15,620 are boys, 14,447 girls and four are transgenders.","June 8, 2021  11:47:27 am",India,https://indianexpress.com/article/india/covid-second-wave-over-3000-orphaned-26000-lost-a-parent-since-april-20-panel-7348687/
45,"Facing opposition heat, SC’s scrutiny, a bid to turn tables, claim lost ground","By making vaccines free, taking over their procurement and extending food rations to November, Modi tried to turn the tables on the Opposition, deflect growing heat from the Supreme Court and give fresh action points to his beleaguered party.","June 8, 2021  7:49:06 am",India,https://indianexpress.com/article/india/covid-vaccine-policy-facing-opposition-heat-scs-scrutiny-a-bid-to-turn-tables-claim-lost-ground-7348594/
46,"Next up: Ensuring small hospitals get supply, e-vouchers for poor","According to these sources, while the current metric used by the Centre to supply doses on the basis of caseload, performance and wastage will remain, the states will have a say in formulating priority groups in the 18-44 years age group.","June 8, 2021  7:44:00 am",India,https://indianexpress.com/article/india/next-up-ensuring-small-hospitals-get-supply-e-vouchers-for-poor-free-vaccines-pm-modi-7348606/
47,"IAF chopper makes hard landing in Ladakh, inquiry ordered","DBO is just north of Depsang Plains, which is one of the friction points in the over year-long standoff between India and China. It is strategically significant for India, as is just a few kilometres short of the Karakoram Pass in the north.","June 8, 2021  4:10:09 pm",India,https://indianexpress.com/article/india/iaf-chopper-makes-hard-landing-in-ladakh-inquiry-ordered/
